电影名,主演,上映时间,评分,图片URL,本地图片路径
低俗小说,"约翰·特拉沃尔塔,阿曼达·普拉莫,乌玛·瑟曼",1994-05-21(法国),8.7,https://p0.pipi.cn/mmdb/54ecdedd02fc7e230fc69647f06a0fd772745.jpg?imageView2/1/w/160/h/220,maoyan_data\images\低俗小说.jpg
阿凡达,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",2010-01-04,9.4,https://p0.pipi.cn/mediaplus/bigdata_mmdb_mmdbtask/0fa334fcb785c24a189fd13c3d8754c6c6ec8.jpg?imageView2/1/w/160/h/220,maoyan_data\images\阿凡达.jpg
飞屋环游记,"爱德华·阿斯纳,克里斯托弗·普卢默,乔丹·长井",2009-08-04,8.9,https://p0.pipi.cn/mmdb/d2dad592c7e7e12c95c696019ac91afe43bbe.jpg?imageView2/1/w/160/h/220,maoyan_data\images\飞屋环游记.jpg
无间道,"刘德华,梁朝伟,黄秋生",2003-09-05,9.1,https://p0.pipi.cn/mmdb/25bfd65151bc690e13537c2009444a0c511b2.jpg?imageView2/1/w/160/h/220,maoyan_data\images\无间道.jpg
蝴蝶效应,"约翰·帕特里克·阿梅多利,罗根·勒曼,卡梅隆·布莱特",2004-01-23(美国),8.7,https://p0.pipi.cn/mmdb/d2dad592c7e7e1d2361789abe36bef1670991.jpg?imageView2/1/w/160/h/220,maoyan_data\images\蝴蝶效应.jpg
窃听风暴,"乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",2006-03-23(德国),9.0,https://p0.pipi.cn/mmdb/d2dad592b1251b8ea302ff06b2bdab3ee19ea.jpg?imageView2/1/w/160/h/220,maoyan_data\images\窃听风暴.jpg
时空恋旅人,"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",2013-09-04(英国),8.9,https://p0.pipi.cn/mmdb/d2dad592b125bfc9fdc9fd4d459453ef2c0b1.jpg?imageView2/1/w/160/h/220,maoyan_data\images\时空恋旅人.jpg
飞越疯人院,"杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森",1975-11-19(美国),8.8,https://p0.pipi.cn/mmdb/d2dad592c7e7e1d236ecd834d112a6039efd5.jpg?imageView2/1/w/160/h/220,maoyan_data\images\飞越疯人院.jpg
哈尔的移动城堡,"木村拓哉,于适,倍赏千惠子",2024-04-30,9.5,https://p0.pipi.cn/mmdb/54ecdedd71f923281e8ea3eea2043fd284b8c.jpg?imageView2/1/w/160/h/220,maoyan_data\images\哈尔的移动城堡.jpg
大话西游之大圣娶亲,"周星驰,朱茵,莫文蔚",2014-10-24,8.8,https://p0.pipi.cn/mediaplus/bigdata_mmdb_mmdbtask/0fa3343db7877e3cbcea4043e169c700b6bdd.jpg?imageView2/1/w/160/h/220,maoyan_data\images\大话西游之大圣娶亲.jpg
天空之城,"田中真弓,横泽启子,初井言荣",2023-06-01,9.4,https://p0.pipi.cn/mmdb/fb738671be10fab860281ec0afaeb3403530a.jpg?imageView2/1/w/160/h/220,maoyan_data\images\天空之城.jpg
花束般的恋爱,"有村架纯,菅田将晖,细田佳央太",2022-02-22,8.9,https://p0.pipi.cn/mmdb/25bfd6bec7e7e1030cb12da89b6f158d2d3ce.jpg?imageView2/1/w/160/h/220,maoyan_data\images\花束般的恋爱.jpg
爱在日落黄昏时,"伊桑·霍克,朱莉·德尔佩,弗农·多布切夫",2015-04-20,8.7,https://p0.pipi.cn/mediaplus/bigdata_mmdb_mmdbtask/0fa3349a4ea6e314dcea4085bc1499a499096.jpeg?imageView2/1/w/160/h/220,maoyan_data\images\爱在日落黄昏时.jpg
心灵捕手,"罗宾·威廉姆斯,马特·达蒙,明妮·德里弗",1997-12-05(美国),8.4,https://p0.pipi.cn/mmdb/d2dad592c7e7e1cbaec7edffce881840adcbb.jpg?imageView2/1/w/160/h/220,maoyan_data\images\心灵捕手.jpg
天使爱美丽,"奥黛丽·塔图,马修·卡索维茨,吕菲斯",2001-04-25(比利时),8.4,https://p0.pipi.cn/mmdb/d2dad592c7e7e1d2362c95cf3f5318319ded9.jpg?imageView2/1/w/160/h/220,maoyan_data\images\天使爱美丽.jpg
复仇者联盟4：终局之战,"小罗伯特·唐尼,克里斯·埃文斯,马克·鲁法洛",2019-04-24,9.1,https://p0.pipi.cn/mmdb/fb7386022ff3381789b860604cfd53eacf04c.jpg?imageView2/1/w/160/h/220,maoyan_data\images\复仇者联盟4：终局之战.jpg
七宗罪,"布拉德·皮特,摩根·弗里曼,凯文·史派西",1995-09-22(美国),8.7,https://p0.pipi.cn/mediaplus/bigdata_mmdb_mmdbtask/0fa3343d6e35c201e87048efcd3ed801bb8e8.png?imageView2/1/w/160/h/220,maoyan_data\images\七宗罪.jpg
春光乍泄,"张国荣,梁朝伟,张震",1997-05-30(中国香港),9.2,https://p0.pipi.cn/mmdb/d2dad592c7e7e1cbaec6966bffa7868726081.jpg?imageView2/1/w/160/h/220,maoyan_data\images\春光乍泄.jpg
重庆森林,"梁朝伟,王菲,金城武",1994-07-14(中国香港),8.6,https://p0.pipi.cn/basicdata/54ecde2fc69be19ab421f0692a6cefe81a139.jpg?imageView2/1/w/160/h/220,maoyan_data\images\重庆森林.jpg
猫鼠游戏,"莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯",2003-04-11,8.6,https://p0.pipi.cn/mmdb/d2dad592c7e7e131392ff792cc928c7e6ba8a.jpg?imageView2/1/w/160/h/220,maoyan_data\images\猫鼠游戏.jpg
罗马假日,"格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",1953-08-20(意大利),9.0,https://p0.pipi.cn/mmdb/25bfd6923383383ba30faf44c3c24cd3ceb46.png?imageView2/1/w/160/h/220,maoyan_data\images\罗马假日.jpg
穿条纹睡衣的男孩,"阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",2008-08-28(英国),9.0,https://p0.pipi.cn/mmdb/d2dad592b1292339ddc7ed88f08cede3a96a1.jpg?imageView2/1/w/160/h/220,maoyan_data\images\穿条纹睡衣的男孩.jpg
釜山行,"孔刘,郑裕美,马东锡",2016-05-13 00:00:00(法国),8.9,https://p0.pipi.cn/mmdb/d2dad5927e10fa7e12c9fda9269c5f56db8bc.jpg?imageView2/1/w/160/h/220,maoyan_data\images\釜山行.jpg
菊次郎的夏天,"北野武,关口雄介,岸本 加世子",2020-09-25,8.8,https://p0.pipi.cn/mmdb/d2dad592c7e7e167cbb12d2ba28e0e7092f50.jpg?imageView2/1/w/160/h/220,maoyan_data\images\菊次郎的夏天.jpg
钢琴家,"阿德里安·布劳迪,艾米莉娅·福克斯,米乔·赞布罗斯基",2002-05-24(法国),8.9,https://p0.pipi.cn/mmdb/d2dad592c7e7e11789281e4bbb81fe2362062.jpg?imageView2/1/w/160/h/220,maoyan_data\images\钢琴家.jpg
辩护人,"宋康昊,吴达洙,郭度沅",2013-12-18(韩国),8.8,https://p0.pipi.cn/mmdb/d2dad592b12f2a80775bf190d8476379b0d3e.jpg?imageView2/1/w/160/h/220,maoyan_data\images\辩护人.jpg
好东西,"宋佳,钟楚曦,章宇",2024-11-22,9.2,https://p0.pipi.cn/mediaplus/friday_image_fe/cdf05c5c8b05c26b1b8014449d2ebb6ef8749.jpg?imageView2/1/w/160/h/220,maoyan_data\images\好东西.jpg
饮食男女,"郎雄,吴倩莲,杨贵媚",1994-08-03(美国),8.8,https://p0.pipi.cn/mmdb/d2dad592c7e7e1d2360e1365017be55c04ba1.jpg?imageView2/1/w/160/h/220,maoyan_data\images\饮食男女.jpg
剪刀手爱德华,"约翰尼·德普,薇诺娜·瑞德,黛安娜·维斯特",1990-12-06(美国),8.8,https://p0.pipi.cn/mmdb/d2dad592c7e7e18ea33ba335b04bdcbc9765a.jpg?imageView2/1/w/160/h/220,maoyan_data\images\剪刀手爱德华.jpg
十二怒汉,"亨利·方达,李·科布,马丁·鲍尔萨姆",1957-04-13(美国),9.1,https://p0.pipi.cn/basicdata/54ecde2fc690e1d2361789b6045500627000e.jpg?imageView2/1/w/160/h/220,maoyan_data\images\十二怒汉.jpg
入殓师,"本木雅弘,广末凉子,山崎努",2021-10-29,8.6,https://p0.pipi.cn/mmdb/d2dad592b12923be128077d11fa70c904fed8.png?imageView2/1/w/160/h/220,maoyan_data\images\入殓师.jpg
蝙蝠侠：黑暗骑士,"克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",2008-07-14(阿根廷),9.3,https://p0.pipi.cn/mmdb/d2dad592c7e7e111e55bf165a69f4403a0815.jpg?imageView2/1/w/160/h/220,maoyan_data\images\蝙蝠侠：黑暗骑士.jpg
素媛,"李来,薛景求,严智苑",2013-10-02(韩国),9.1,https://p0.pipi.cn/mmdb/d2dad592b125bf230f8d3384ef8b5b7ad3de5.jpg?imageView2/1/w/160/h/220,maoyan_data\images\素媛.jpg
两杆大烟枪,"杰森·弗莱明,德克斯特·弗莱彻,杰森·斯坦森",1998-08-28(英国),8.7,https://p0.pipi.cn/mmdb/54ecde02537ddd178967cbc55df9269f0bfee.jpg?imageView2/1/w/160/h/220,maoyan_data\images\两杆大烟枪.jpg
傲慢与偏见,"马修·麦克费登,吉娜·马隆,妲露拉·莱莉",2008-02-10,8.4,https://p0.pipi.cn/mmdb/d2dad592b1251b2ff7be12b77068890525bd4.jpg?imageView2/1/w/160/h/220,maoyan_data\images\傲慢与偏见.jpg
奥本海默,"基里安·墨菲,艾米莉·布朗特,马特·达蒙",2023-08-30,9.3,https://p0.pipi.cn/mmdb/54ecde8d537923be127a35edaa7ed1b006af8.jpg?imageView2/1/w/160/h/220,maoyan_data\images\奥本海默.jpg
大鱼,"伊万·麦克格雷格,阿尔伯特·芬尼,杰西卡·兰格",2003-12-04(美国),8.6,https://p0.pipi.cn/mmdb/d2dad592c7e7e1d236d7c316db75fd5d48d41.jpg?imageView2/1/w/160/h/220,maoyan_data\images\大鱼.jpg
禁闭岛,"莱昂纳多·迪卡普里奥,马克·鲁法洛,本·金斯利",2010-02-13(德国),8.7,https://p0.pipi.cn/mmdb/d2dad592c7e7e111e5e19b6ea329f546d4160.jpg?imageView2/1/w/160/h/220,maoyan_data\images\禁闭岛.jpg
致命魔术,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",2006-10-17(意大利),8.8,https://p0.pipi.cn/mmdb/d2dad592b1251b06d6395bef1abdc4f5361f4.jpg?imageView2/1/w/160/h/220,maoyan_data\images\致命魔术.jpg
真爱至上,"休·格兰特,比尔·奈伊,连姆·尼森",2003-11-21(英国),8.6,https://p0.pipi.cn/mmdb/d2dad592c7e7e1d23616bd136d7b8bd905e71.jpg?imageView2/1/w/160/h/220,maoyan_data\images\真爱至上.jpg
模仿游戏,"本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪",2015-07-21,9.3,https://p0.pipi.cn/mmdb/d2dad592b125bf313906d638156e7821539c4.jpg?imageView2/1/w/160/h/220,maoyan_data\images\模仿游戏.jpg
